client_id,contact_number,current_product,monthly_fee,avg_balance,monthly_transactions,digital_logins,support_tickets,account_age_months,international_transfers
CLT-00001,+33 656 978059,Premium Account,16.66,105859.79,70,46,2,2,2
CLT-00002,+33 679 505413,Savings Plus,6.1,33973.93,60,35,0,8,1
CLT-00003,+33 670 800544,Savings Plus,9.25,20953.67,68,15,0,2,0
CLT-00004,+33 651 168708,Premium Account,18.59,116750.97,46,15,1,9,0
CLT-00005,+33 618 381129,Checking,2.9,6838.7,43,50,1,27,0
CLT-00006,+33 681 802327,Premium Account,21.51,39990.82,25,43,1,14,0
CLT-00007,+33 686 608711,Savings Plus,6.3,10153.85,51,47,1,40,2
CLT-00008,+33 666 993398,Checking,0.86,60570.22,79,17,2,2,1
CLT-00009,+33 646 465747,Checking,2.65,8576.97,41,49,0,3,0
CLT-00010,+33 624 547596,Premium Account,17.07,36127.18,57,29,1,8,0
CLT-00011,+33 642 917721,Savings Plus,9.73,8944.25,21,43,1,27,3
CLT-00012,+33 633 214819,Premium Account,22.32,47224.16,31,16,1,8,1
CLT-00013,+33 637 664577,Checking,1.02,11498.53,38,37,0,3,0
CLT-00014,+33 667 257666,Checking,0.0,5282.99,15,14,1,36,0
CLT-00015,+33 651 804460,Checking,1.38,830.66,48,9,0,7,3
CLT-00016,+33 653 864799,Savings Plus,6.64,17013.9,33,6,1,39,5
CLT-00017,+33 631 693479,Checking,0.0,2074.35,36,44,3,5,2
CLT-00018,+33 678 514030,Checking,3.81,68839.67,93,22,2,9,0
CLT-00019,+33 636 491586,Savings Plus,3.31,47121.96,24,59,0,35,1
CLT-00020,+33 689 469197,Premium Account,20.63,51592.91,75,10,0,34,1
CLT-00021,+33 676 261341,Private Banking,44.07,149103.17,69,37,2,10,0
CLT-00022,+33 687 256850,Premium Account,16.1,70074.12,34,12,0,50,0
CLT-00023,+33 612 743865,Savings Plus,8.63,31150.25,25,45,2,8,0
CLT-00024,+33 621 568919,Savings Plus,9.69,26986.28,51,55,0,1,3
CLT-00025,+33 624 636437,Savings Plus,9.76,11315.28,38,56,2,10,8
CLT-00026,+33 681 400819,Checking,0.0,88060.0,131,38,1,20,4
CLT-00027,+33 634 508506,Savings Plus,9.07,24164.69,50,18,0,13,3
CLT-00028,+33 631 386851,Checking,3.77,71610.36,73,12,0,75,0
CLT-00029,+33 627 257177,Checking,0.0,2174.61,10,7,1,9,1
CLT-00030,+33 662 543774,Checking,0.0,13187.57,44,18,0,4,0
CLT-00031,+33 618 850111,Savings Plus,3.71,21812.64,43,7,0,7,0
CLT-00032,+33 692 654655,Private Banking,47.5,420810.35,66,12,2,28,0
CLT-00033,+33 615 225791,Premium Account,17.87,58508.95,66,31,0,3,0
CLT-00034,+33 647 813475,Savings Plus,5.08,22075.88,52,55,3,23,1
CLT-00035,+33 678 669625,Savings Plus,6.73,34366.43,59,20,0,25,0
CLT-00036,+33 675 622711,Premium Account,21.08,81437.97,31,56,0,5,9
CLT-00037,+33 618 328044,Premium Account,22.62,98262.41,76,37,0,129,1
CLT-00038,+33 618 928105,Savings Plus,8.35,25969.33,43,32,2,38,1
CLT-00039,+33 692 796888,Checking,0.93,36139.63,119,41,2,23,5
CLT-00040,+33 639 177632,Checking,0.0,5059.38,16,29,3,15,0
CLT-00041,+33 668 987967,Savings Plus,5.63,40113.57,41,44,2,8,2
CLT-00042,+33 694 186109,Savings Plus,3.09,31471.61,52,50,1,55,5
CLT-00043,+33 644 997330,Savings Plus,3.77,46329.89,57,53,1,35,0
CLT-00044,+33 635 877098,Private Banking,49.28,360050.01,25,18,0,15,4
CLT-00045,+33 623 146492,Checking,0.0,10015.9,11,38,3,9,2
CLT-00046,+33 681 837818,Checking,2.89,13953.03,40,7,2,20,0
CLT-00047,+33 682 761158,Savings Plus,4.09,33350.53,61,15,0,5,2
CLT-00048,+33 634 513036,Savings Plus,9.19,32733.9,17,14,1,5,1
CLT-00049,+33 649 230617,Private Banking,47.01,413632.38,58,57,1,82,0
CLT-00050,+33 636 922343,Savings Plus,5.83,11679.75,42,11,1,1,0
CLT-00051,+33 623 467904,Checking,0.88,9359.32,35,16,3,20,0
CLT-00052,+33 662 630742,Savings Plus,6.96,15151.68,46,40,1,3,0
CLT-00053,+33 695 561464,Premium Account,18.52,63141.82,65,45,1,25,0
CLT-00054,+33 688 137498,Savings Plus,6.46,19150.28,61,8,0,38,0
CLT-00055,+33 690 113214,Checking,3.2,3008.42,22,50,1,17,0
CLT-00056,+33 686 504620,Savings Plus,9.97,21421.37,67,22,2,47,2
CLT-00057,+33 651 247376,Savings Plus,6.68,5482.74,26,14,0,15,0
CLT-00058,+33 684 531745,Savings Plus,6.04,8602.22,56,13,1,24,2
CLT-00059,+33 674 543960,Checking,2.11,4734.86,29,9,0,81,1
CLT-00060,+33 631 769299,Savings Plus,5.57,39330.64,18,23,1,20,2
CLT-00061,+33 620 865246,Premium Account,20.11,70479.15,84,23,1,12,0
CLT-00062,+33 654 384821,Savings Plus,5.37,33387.45,24,6,0,100,1
CLT-00063,+33 656 670392,Checking,2.92,606.06,21,58,2,35,1
CLT-00064,+33 665 166760,Private Banking,49.07,485284.49,66,45,0,17,1
CLT-00065,+33 696 774984,Premium Account,21.14,118457.81,43,24,0,1,7
CLT-00066,+33 621 166627,Savings Plus,5.88,25923.81,68,9,2,57,2
CLT-00067,+33 642 198353,Private Banking,43.34,114788.29,42,42,2,38,6
CLT-00068,+33 673 310287,Premium Account,20.35,24896.37,40,5,3,26,1
CLT-00069,+33 646 867502,Checking,0.0,13486.71,36,24,2,16,1
CLT-00070,+33 685 707511,Savings Plus,3.59,44895.09,25,44,0,37,1
CLT-00071,+33 615 453131,Checking,2.17,14964.91,38,55,0,9,0
CLT-00072,+33 654 892646,Checking,2.44,756.2,28,28,0,38,1
CLT-00073,+33 689 918157,Savings Plus,5.28,45364.86,27,34,3,15,2
CLT-00074,+33 676 101381,Checking,4.12,5176.14,16,35,0,6,0
