customer_id,phone,current_plan,monthly_bill,data_usage_gb,call_count,sms_count,complaints,tenure_months,intl_calls
USR-00001,+44 7977 855772,Premium,57.55,40.8,371,36,1,26,15
USR-00002,+44 7871 844867,Standard,31.27,10.3,208,99,0,3,0
USR-00003,+44 7799 591912,Standard,30.87,7.7,234,180,1,8,2
USR-00004,+44 7717 528133,Premium,57.59,44.0,237,86,0,9,3
USR-00005,+44 7380 908277,Basic,22.74,2.8,69,146,0,21,6
USR-00006,+44 7359 555045,Premium,64.17,2.8,10,40,2,60,2
USR-00007,+44 7611 815420,Basic,26.17,15.9,210,269,4,38,8
USR-00008,+44 7924 364234,Basic,20.62,2.1,44,173,0,6,0
USR-00009,+44 7831 794396,Premium,56.79,38.5,359,93,0,3,0
USR-00010,+44 7714 667253,Standard,36.02,9.0,87,145,1,24,1
USR-00011,+44 7334 745200,Standard,45.57,26.9,880,372,4,37,5
USR-00012,+44 7281 516884,Standard,33.53,5.4,222,102,1,6,4
USR-00013,+44 7807 137452,Premium,63.31,28.0,345,125,2,9,0
USR-00014,+44 7253 651206,Standard,36.93,5.8,78,125,1,27,1
USR-00015,+44 7244 614554,Basic,33.75,2.9,66,34,1,18,1
USR-00016,+44 7119 371961,Standard,32.79,7.5,153,99,0,29,12
USR-00017,+44 7976 307192,Basic,33.31,2.3,59,150,1,3,0
USR-00018,+44 7385 914978,Basic,25.29,2.6,69,165,2,7,1
USR-00019,+44 7300 904101,Unlimited,102.81,326.6,4610,198,0,18,7
USR-00020,+44 7184 952957,Standard,48.73,11.4,179,87,2,26,4
USR-00021,+44 7997 799663,Basic,21.2,2.0,30,127,0,60,2
USR-00022,+44 7218 934751,Unlimited,95.12,386.0,2083,61,0,38,0
USR-00023,+44 7172 457819,Standard,48.54,11.7,188,153,1,7,1
USR-00024,+44 7931 856713,Standard,42.67,10.5,232,71,2,1,7
USR-00025,+44 7861 116053,Basic,30.69,4.4,55,187,0,54,1
USR-00026,+44 7644 207004,Basic,23.24,3.9,33,115,1,15,10
USR-00027,+44 7962 194750,Standard,46.32,12.3,141,64,0,19,2
USR-00028,+44 7229 619673,Basic,20.68,1.9,69,75,2,56,1
USR-00029,+44 7238 985979,Basic,21.35,8.2,159,116,3,7,3
USR-00030,+44 7353 144328,Premium,63.32,16.3,185,62,1,3,1
USR-00031,+44 7931 315889,Standard,48.04,5.4,210,29,0,5,1
USR-00032,+44 7849 516518,Premium,72.14,34.3,400,44,2,21,0
USR-00033,+44 7474 763249,Standard,37.32,6.9,85,106,0,3,1
USR-00034,+44 7963 863703,Standard,40.7,7.2,230,184,0,18,3
USR-00035,+44 7760 927045,Premium,72.2,31.0,347,71,0,19,1
USR-00036,+44 7218 500667,Standard,41.86,49.7,433,380,2,60,2
USR-00037,+44 7107 615186,Premium,66.29,22.6,332,37,1,60,4
USR-00038,+44 7639 749101,Standard,32.33,11.4,203,108,0,13,0
USR-00039,+44 7814 427772,Premium,60.4,38.2,361,80,0,18,13
USR-00040,+44 7444 424704,Standard,48.71,5.8,228,98,1,6,6
USR-00041,+44 7210 209729,Standard,42.73,13.4,189,191,1,6,5
USR-00042,+44 7365 563998,Standard,36.03,4.6,141,168,0,51,1
USR-00043,+44 7925 712654,Premium,56.8,10.0,80,17,2,1,8
USR-00044,+44 7104 104886,Basic,15.71,1.9,66,55,2,60,10
USR-00045,+44 7151 861514,Basic,30.43,3.9,34,172,0,29,9
USR-00046,+44 7727 831994,Premium,58.09,2.8,19,27,2,39,5
USR-00047,+44 7297 895730,Basic,15.84,3.6,78,130,1,2,6
USR-00048,+44 7512 501885,Premium,66.44,17.8,186,196,1,16,16
